match_id,date,venue,innings,batting_team,bowling_team,over,ball,over_ball,batsman,non_striker,bowler,runs_batsman,extras,total_runs,is_wicket,dismissal_type,current_score,wickets,ball_number,balls_left,innings_total,first_total,is_chasing,required_runs,required_rr,current_rr,pressure_index,runs_last_6,runs_last_12,player_runs_match,form_5,runs,balls,outs,vs_sr,vs_avg,bowler_type,venue_avg,runs_next_36,target_50
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,3,7,3.7,JR Philippe,V Kohli,JO Holder,4,0,4,0,,24,1,25,95,120,120,0,96,6.063157894736842,5.76,1.0526315789473686,10.0,16.0,32,16.5,6,6,0,100.0,6.0,pace,1.1261682242990654,25.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,1,4.1,V Kohli,JR Philippe,Sandeep Sharma,1,0,1,0,,25,1,26,94,120,120,0,95,6.0638297872340425,5.76923076923077,1.051063829787234,10.0,17.0,7,10.5,11,13,1,84.61538461538461,11.0,pace,1.1261682242990654,26.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,2,4.2,JR Philippe,V Kohli,Sandeep Sharma,1,0,1,0,,26,1,27,93,120,120,0,94,6.064516129032258,5.777777777777778,1.0496277915632755,9.0,14.0,32,16.5,8,9,0,88.88888888888889,8.0,pace,1.1261682242990654,28.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,3,4.3,V Kohli,JR Philippe,Sandeep Sharma,2,0,2,0,,28,1,28,92,120,120,0,92,6.0,6.0,1.0,10.0,15.0,7,10.5,11,13,1,84.61538461538461,11.0,pace,1.1261682242990654,28.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,4,4.4,V Kohli,JR Philippe,Sandeep Sharma,0,0,0,1,caught,28,2,29,91,120,120,0,92,6.065934065934067,5.793103448275862,1.0470957613814758,9.0,15.0,7,10.5,11,13,1,84.61538461538461,11.0,pace,1.1261682242990654,29.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,5,4.5,AB de Villiers,JR Philippe,Sandeep Sharma,1,0,1,0,,29,2,30,90,120,120,0,91,6.066666666666666,5.8,1.0459770114942528,9.0,16.0,24,37.5,21,12,0,175.0,21.0,pace,1.1261682242990654,29.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,4,6,4.6,JR Philippe,AB de Villiers,Sandeep Sharma,0,0,0,0,,29,2,31,89,120,120,0,91,6.134831460674157,5.612903225806451,1.0929872142580395,5.0,15.0,32,16.5,8,9,0,88.88888888888889,8.0,pace,1.1261682242990654,29.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,5,1,5.1,AB de Villiers,JR Philippe,T Natarajan,0,0,0,0,,29,2,32,88,120,120,0,91,6.204545454545455,5.4375,1.1410658307210033,4.0,14.0,24,37.5,24,18,1,133.33333333333331,24.0,pace,1.1261682242990654,29.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,5,2,5.2,AB de Villiers,JR Philippe,T Natarajan,0,0,0,0,,29,2,33,87,120,120,0,91,6.275862068965517,5.2727272727272725,1.1902497027348395,3.0,12.0,24,37.5,24,18,1,133.33333333333331,24.0,pace,1.1261682242990654,29.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,5,3,5.3,AB de Villiers,JR Philippe,T Natarajan,0,0,0,0,,29,2,34,86,120,120,0,91,6.348837209302325,5.117647058823529,1.2405773857257418,1.0,11.0,24,37.5,24,18,1,133.33333333333331,24.0,pace,1.1261682242990654,30.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,5,4,5.4,AB de Villiers,JR Philippe,T Natarajan,1,0,1,0,,30,2,35,85,120,120,0,90,6.352941176470589,5.142857142857143,1.2352941176470589,2.0,11.0,24,37.5,24,18,1,133.33333333333331,24.0,pace,1.1261682242990654,30.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,5,5,5.5,JR Philippe,AB de Villiers,T Natarajan,0,0,0,0,,30,2,36,84,120,120,0,90,6.428571428571429,5.0,1.2857142857142858,1.0,10.0,32,16.5,0,2,0,0.0,0.0,pace,1.1261682242990654,30.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,5,6,5.6,JR Philippe,AB de Villiers,T Natarajan,0,0,0,0,,30,2,37,83,120,120,0,90,6.506024096385542,4.864864864864865,1.3373493975903614,1.0,6.0,32,16.5,0,2,0,0.0,0.0,pace,1.1261682242990654,30.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,6,1,6.1,AB de Villiers,JR Philippe,S Nadeem,1,0,1,0,,31,2,38,82,120,120,0,89,6.51219512195122,4.894736842105264,1.3304484657749802,2.0,6.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,31.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,6,2,6.2,JR Philippe,AB de Villiers,S Nadeem,1,0,1,0,,32,2,39,81,120,120,0,88,6.518518518518518,4.923076923076923,1.324074074074074,3.0,6.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,32.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,6,3,6.3,AB de Villiers,JR Philippe,S Nadeem,1,0,1,0,,33,2,40,80,120,120,0,87,6.5249999999999995,4.95,1.3181818181818181,4.0,5.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,35.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,6,4,6.4,JR Philippe,AB de Villiers,S Nadeem,4,0,4,0,,37,2,41,79,120,120,0,83,6.30379746835443,5.414634146341464,1.1642148477591514,7.0,9.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,35.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,6,5,6.5,JR Philippe,AB de Villiers,S Nadeem,1,0,1,0,,38,2,42,78,120,120,0,82,6.3076923076923075,5.428571428571429,1.1619433198380567,8.0,9.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,35.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,6,6,6.6,AB de Villiers,JR Philippe,S Nadeem,0,0,0,0,,38,2,43,77,120,120,0,82,6.3896103896103895,5.3023255813953485,1.205058099794942,8.0,9.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,35.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,7,1,7.1,JR Philippe,AB de Villiers,Rashid Khan,1,0,1,0,,39,2,44,76,120,120,0,81,6.394736842105264,5.318181818181818,1.202429149797571,8.0,10.0,32,16.5,3,8,1,37.5,3.0,spin,1.1261682242990654,35.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,7,2,7.2,AB de Villiers,JR Philippe,Rashid Khan,0,0,0,0,,39,2,45,75,120,120,0,81,6.48,5.2,1.2461538461538462,7.0,10.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,35.0,0
